EntrezGeneSymbol1	EntrezGeneSymbol2	score
JAM2	PSME3	0.0963
CKB	IFNL1	0.0962
KAT6A	CTSC	0.0962
ERBB2	CXCL13	0.0962
F7	NOTCH3	0.0962
FCN1	TNFAIP6	0.0961
CCNB1	TNFRSF14	0.0961
DYNLL1	CSNK2A2 CSNK2B	0.0961
FOLH1	FCN2	0.0961
HMGCR	CCNB1	0.0961
SPARC	PDGFA	0.0961
MMP13	CDH15	0.0961
ESAM	MAPKAPK5	0.0960
IL12A IL12B	DSG1	0.0960
HGF	CSNK2A2 CSNK2B	0.0960
BCAM	DMP1	0.0960
MEPE	GPC2	0.0959
SPINT1	PRSS22	0.0959
CSF1R	CD163	0.0958
ULBP2	CA13	-0.0958
FCRL3	IGHD  IGK@ IGL@	0.0958
LTBR	PSME1	0.0958
FGF10	ERBB4	0.0957
C3	NXPH1	-0.0957
PTH	ESM1	0.0957
CTSS	CCL13	0.0956
C2	EIF4A3	-0.0956
CCNB1	NPPA	0.0955
CD80	HS6ST1	0.0955
CCL2	SCARF2	0.0955
ICAM3	PECAM1	0.0955
ITGA2B ITGB3	PPIF	0.0955
C5	CD40LG	0.0955
SLPI	KIR3DS1	0.0955
TNFRSF8	FGF20	0.0954
TIE1	SELE	-0.0954
ROR1	IGF1	0.0954
KIT	PAPPA	0.0954
APCS	CRP	0.0954
BCAM	SMPDL3A	-0.0954
IL7R	BCAR3	0.0954
IL1RL2	CSNK2A1 CSNK2B	0.0954
MRC2	CDON	0.0954
CD36	ADIPOQ	0.0954
OLR1	MMP14	0.0953
PROC	TYMS	0.0953
CYCS	PTHLH	0.0953
TPM2	PRLR	0.0953
TNFRSF11B	LTBR	0.0953
CAMK1	NCK1	0.0953
IL37	PRSS27	0.0953
WIF1	MAPK8	0.0953
ERBB2	CD70	-0.0952
MRC2	NR1D1	0.0952
PDGFA	ANXA6	0.0952
MED1	NSFL1C	0.0951
NCR3	EIF4A3	0.0951
IL2RA	DMP1	0.0951
FGF12	CGA CGB	0.0951
POMC	FGR	0.0951
FLT3	CSNK2A2 CSNK2B	0.0951
ROR1	GFRA1	0.0950
C4A C4B	BMP1	-0.0950
CHEK1	MMP10	0.0950
SEMA3A	IL20	-0.0950
FASLG	VEGFC	0.0949
DYRK3	PGK1	0.0949
C1R	C4A C4B	-0.0949
CTSC	H2AFZ	0.0949
BMPER	TNFRSF10A	0.0948
C4A C4B	PGAM1	0.0948
LCORL	MMP16	0.0948
HAT1	MDK	0.0948
MMP12	SIRT2	0.0948
TBP	MDK	0.0947
TNFSF18	NOTCH2	0.0947
CAPG	KIR3DL2	0.0947
CCL20	CAMK1	0.0947
PAK3	CAMKK1	0.0947
SERPINA1	NTF4	0.0946
NPPA	PRKCG	0.0946
TNFRSF6B	PPIE	0.0945
FGF8	NAGK	0.0945
FCGR1A	MED1	0.0945
PRKCD	KIF23	0.0945
GPC3	CA2	0.0945
BMX	KYNU	0.0945
EIF5	NID2	0.0944
ULBP3	CD70	0.0944
SEZ6L2	SGTA	0.0944
FTH1 FTL	SET	0.0944
MRC2	ROBO2	0.0944
GZMH	RPS6KA3	0.0944
CDK2 CCNA2	LIN7B	0.0943
C1QA C1QB  C1QC	AMHR2	0.0943
DDX19B	FGFR2	-0.0942
VWF	GSTA3	0.0942
TNFRSF8	KLK3	0.0942
PLAT	SERPINA6	0.0942
IL5	TFF3	0.0942
EIF4EBP2	RBM39	0.0942
VCAM1	LAG3	0.0942
MMP8	PTK2	0.0941
IL2RG	KLK5	0.0941
OCIAD1	IFNL2	0.0941
GAS1	PES1	0.0940
CST6	PRSS22	0.0940
CDK2 CCNA2	HSD17B1	0.0940
DUSP3	PTPN6	0.0940
NGF	BIRC3	0.0939
BMP7	HTRA2	0.0939
MAP2K1	BCAR3	0.0938
ECE1	PCSK9	0.0938
CCL20	NRP1	0.0938
PECAM1	LRRTM1	0.0938
AGRP	CST6	0.0938
HSPD1	NLGN4X	0.0938
PDCD1LG2	KLK12	0.0937
PRSS1	SKP1	0.0937
CSF1R	FCGR3B	0.0937
CD4	METAP1	0.0937
LTBR	CCL4L1	0.0936
PF4	THBS1	0.0936
TNFRSF1B	OCIAD1	0.0936
ULBP1	HIBADH	-0.0935
PLA2G5	PPA1	0.0935
HFE2	NCAM1	0.0935
PROK1	KIRREL3	0.0934
LTA4H	SYNCRIP	0.0934
ARG1	GZMH	0.0934
IGF1	GFRA1	0.0934
MIA	CD207	0.0933
TNFSF18	SERPINE2	0.0933
Human-virus	GRAP2	0.0933
IL5	PLG	0.0933
PTK6	ENG	0.0933
EIF5	BMX	0.0932
NTN4	MSLN	0.0932
DBNL	GCKR	0.0932
BMPR2	COTL1	0.0932
IL12RB1	CNDP2	0.0932
LPO	CD200R1	0.0932
FCRL3	KIRREL3	0.0932
PLG	CHST2	0.0931
KLK13	FGF8	0.0931
PRKCQ	MSN	0.0931
CDH12	TG	0.0930
TNFSF15	INS	0.0930
AZU1	SERPINA1	0.0930
FCN2	KDR	0.0930
MMP9	ALPL	0.0930
WFIKKN1	SLC25A18	0.0929
METAP1	SORCS2	0.0929
IFNG	NCR3	0.0929
CCL22	DPT	0.0929
CFI	CFB	0.0929
FGF16	TYK2	0.0929
PCNA	TNFRSF14	0.0929
IGFBP3	XCL1	0.0928
IL13RA1	CD300C	0.0928
SPINT1	ATP5B	0.0928
PAFAH1B2	ABL2	0.0928
RPS6KA3	IFNL2	0.0928
MMP3	LGMN	0.0928
PLA2G5	SNRPF	0.0927
SERPINF2	NOTCH3	0.0927
PAK3	TNFRSF12A	0.0927
PTGS2	CAPG	0.0927
PLA2G10	CAST	0.0926
SLC25A18	HNRNPA2B1	0.0926
SIGLEC14	DLL1	-0.0926
EGFR	CNDP1	0.0926
PRKCZ	ANP32B	0.0926
IGFBP6	FGF17	0.0926
NACA	SGTA	0.0926
TG	PSMA2	0.0926
NACA	ARID3A	0.0926
MMP1	TNFRSF13C	0.0926
ICAM3	CCL1	0.0925
IL1B	CD226	0.0925
IL10RB	PLA2G10	0.0925
PDGFB	ANXA6	0.0925
IL24	CCL24	0.0925
IFNG	CDK5 CDK5R1	0.0924
TACSTD2	COLEC12	-0.0924
Human-virus	HNRNPA2B1	0.0924
SEMA3A	UBE2L3	0.0924
CSF1R	LYVE1	0.0924
CD33	ETHE1	-0.0924
IL1B	BMP10	0.0924
EFNB3	PLCG1	0.0924
DLL4	HCK	0.0923
TIE1	VWF	0.0923
C5	CRP	0.0923
HCK	MBD4	0.0923
SERPINE2	CALR	0.0922
CCL5	ANXA6	0.0922
LIFR	PSME3	0.0922
SERPINA1	FST	0.0921
C8A C8B C8G	CNDP2	0.0921
SHH	LRPAP1	0.0921
BCL2	SFTPD	0.0921
CCL1	MDM2	0.0921
AZU1	CHST6	0.0921
CNTN2	MPL	0.0921
NTF4	AMICA1	0.0921
LGALS8	EREG	0.0920
CDH3	AMH	0.0920
FTH1 FTL	ELANE	0.0920
C3	TF	0.0920
KDR	FCN3	0.0920
KIT	LSAMP	0.0920
XRCC6	PLCG1	0.0919
IFNGR1	SST	0.0919
SIGLEC1	NCK1	0.0919
RPSA	C1QBP	0.0919
PROS1	C2	0.0918
SST	GOT1	0.0918
BIRC5	HDGFRP2	0.0918
GDF5	WFIKKN1	0.0918
PLAT	CRTAM	0.0918
CRLF1 CLCF1	IL17B	0.0918
MMP17	LILRB2	0.0918
ADAMTS1	EPS15L1	0.0917
CDC42BPB	TNFRSF10A	0.0917
C1R	RTN4	-0.0916
TNFSF11	CD40LG	0.0916
LRIG3	CDON	0.0916
KLK4	MMP17	0.0916
CST4	PRKCQ	0.0916
IL5RA	SCARF2	0.0916
TNFRSF11B	C1QA C1QB  C1QC	0.0916
HGF	STK17B	0.0916
HPX	CFHR5	0.0915
ADCYAP1	TNFRSF18	0.0915
NUDCD3	CD70	0.0915
SERPINC1	TF	0.0915
IL37	GFAP	0.0915
ANGPT4	CXCL10	0.0915
CAST	PDGFC	0.0914
CD36	KYNU	0.0914
EPOR	LGALS8	0.0914
IL18RAP	SIGLEC1	0.0914
SIGLEC6	ARG1	0.0914
ADAMTS1	PPA1	0.0914
PIGR	KYNU	0.0913
CDH5	IL17RD	0.0913
AMH	C1QBP	0.0913
GDF11	NCR3	0.0913
IL18R1	CCL15	0.0913
LRRTM1	PCSK7	0.0913
IL5	ANGPTL4	0.0913
COL18A1	NOV	-0.0912
POMC	ELANE	0.0912
MAP2K1	PCSK7	0.0912
SPHK2	PRKAA1 PRKAB1  PRKAG1	0.0912
DDX19B	TNFRSF6B	0.0912
CDH5	NOTCH1	0.0912
C6	F2	0.0912
PLA2G2E	CCL2	0.0911
NAGK	ENTPD5	0.0911
LRPAP1	ADAMTS15	0.0911
CCDC80	DKK4	0.0911
THBS2	PTEN	0.0910
NTRK1	IL27RA	0.0910
SERPINA1	PSME1	0.0910
C5	PDXP	0.0910
BMP6	CD200R1	0.0910
FGF10	CA10	0.0910
APP	PDGFA	0.0909
CA9	PRKAA1 PRKAB1  PRKAG1	0.0909
SERPINF2	RARRES2	0.0909
LRRTM1	LPO	0.0909
FGG	SET	0.0909
AGR2	C1QBP	0.0909
CGA LHB	CGA CGB	-0.0909
IL2RA	IL6	0.0909
C1QA C1QB  C1QC	VCAM1	0.0909
VEGFC	C3	0.0908
DDR2	ICOSLG	0.0908
SFN	TNFRSF12A	0.0908
ADAMTS4	CTLA4	0.0908
CXCL1	PGF	0.0908
CNTN1	F7	0.0907
CST3	RELT	0.0907
ULBP2	DUSP3	0.0907
C2	CFB	0.0907
NOTCH2	TNNI2	0.0907
MMP17	NR3C1	0.0906
C3	AGR2	-0.0906
CSNK2A1 CSNK2B	CALR	0.0906
TNFRSF8	TPO	0.0906
LDHB	PPBP	0.0906
IL12A IL12B	CSF2	0.0906
MMP8	CD40LG	0.0905
DPP7	PDE2A	0.0905
TYMS	TNFRSF12A	0.0905
KLK4	SPHK2	0.0905
IGFBP3	SET	0.0904
TGFB1	CD80	0.0904
IL25	ITGAV ITGB5	0.0904
NOTCH3	HNRNPA2B1	0.0904
CSF3R	SCGB2A1	-0.0904
CLEC4M	CKAP2	0.0903
DDX19B	TGM3	0.0903
UFM1	WNT7A	0.0903
MSR1	CDNF	0.0903
ADAMTS4	CA4	0.0903
CA10	MDM2	0.0903
MMP9	OLR1	0.0902
TF	F2	0.0902
SFTPD	HNRNPA2B1	0.0902
EPO	SORCS2	0.0901
AURKB	PFDN5	0.0901
MICA	STX1A	0.0901
F11	ANG	0.0901
JAM3	EPHA2	0.0901
FGF10	CDK2 CCNA2	0.0901
GFRA3	LTBR	0.0900
PTK2	MAPK9	0.0900
CDH6	SLC25A18	0.0900
IL17A	CTSE	-0.0900
IL1RL2	PDE7A	0.0900
CCL20	PRSS27	0.0900
A2M	TXNDC12	0.0900
IGFBP5	PCSK9	0.0900
ABL2	MMP16	0.0900
PF4	PPBP	0.0899
GCG	TNFAIP6	0.0899
NCR2	MAPK1	0.0899
GPT	CD27	0.0898
MAP2K2	PTGS2	-0.0898
NACA	CCL19	0.0898
EPHA3	CASP10	0.0898
SERPINC1	SERPINA4	0.0898
IL18R1	CNTF	0.0898
CLEC7A	PPIB	0.0897
FABP3	CGA CGB	0.0897
TNFRSF4	LRRTM1	0.0897
SIRT2	GRAP2	0.0897
PGAM1	PRSS2	0.0897
H2AFZ	ENTPD3	0.0897
AZU1	PSMA6	0.0897
CTGF	CD27	0.0896
KYNU	EPHB6	0.0896
CHEK1	PRKCD	0.0896
CD84	CD200R1	0.0896
MAPK8	ENTPD3	0.0895
CDH2	C3	0.0895
IGF1	KRT18	0.0895
CPE	SPOCK2	0.0895
MAPKAPK5	CA2	0.0895
PLA2G2E	NTRK2	0.0895
CFD	RBP4	0.0894
KLK11	ROBO3	0.0894
PCNA	CST7	0.0894
SFN	DBNL	0.0894
ARTN	GPC5	0.0894
TNFSF11	DYNLL1	0.0894
Human-virus	CTLA4	0.0894
FCGR1A	GPC2	0.0894
C9	CRP	0.0894
CXCL13	KRT18	0.0893
CPE	TNNI2	0.0893
ARTN	WFIKKN1	0.0893
TDGF1	CPE	0.0893
MATN2	SPARCL1	0.0893
PDGFRB	CTSZ	-0.0893
IL3RA	AMH	0.0893
CA4	IGHE IGK@ IGL@	0.0893
IL15RA	PSME3	0.0893
LAYN	SEMA6A	0.0892
PRL	MBD4	0.0892
ANGPT2	CCL14	0.0891
TIMP1	ALB	0.0891
IFNA2	ICOSLG	0.0891
C1S	CFHR5	0.0891
HSPD1	HSD17B10	0.0890
ICAM2	TGFB2	0.0890
PPBP	THBS1	0.0890
C5	CGA TSHB	0.0890
CFC1	KIRREL3	0.0890
CTF1	MAP3K7 TAB1	0.0889
PLA2G2E	FTH1 FTL	0.0889
DKK1	PDGFA	0.0889
C2	ESD	-0.0889
TPSG1	TEK	0.0889
EDA2R	TNFRSF6B	0.0889
TNFSF11	MASP1	0.0889
LGALS2	DDX19B	0.0889
POR	HSPA1A	0.0889
C1S	CADM3	0.0888
B2M	SET	0.0888
THBS2	REN	0.0888
SFN	CST1	0.0887
AURKB	TGFB2	0.0887
SPHK2	BCAR3	0.0887
ROBO2	ALCAM	0.0887
C3	ADAM9	0.0887
APCS	BIRC3	-0.0887
IL17A	CCL17	0.0887
CHIT1	FGF12	0.0886
AURKA	TPM1	0.0886
COLEC12	PDE2A	0.0886
CKB CKM	TNNI2	0.0886
OCIAD1	NRXN1	0.0886
C8A C8B C8G	MST1R	0.0886
INHBA	HAMP	-0.0885
TNFRSF11B	APOD	0.0885
CTSG	MBD4	0.0885
NTN4	PDE2A	0.0884
NAMPT	HAVCR2	0.0884
ANP32B	NPPA	0.0884
F7	PCSK9	0.0884
HP	LGALS3	0.0884
TDGF1	NCK1	0.0884
CSF1	IL3	0.0883
DLL4	CKB	0.0883
PCSK7	BCAR3	0.0883
ARG1	COL23A1	0.0883
NTN4	CCL24	0.0883
SST	PDE9A	0.0883
CRLF1 CLCF1	CCL8	0.0882
FCGR1A	NTRK2	0.0882
CADM3	GRAP2	0.0882
ARTN	EPHA10	0.0882
SOD1	CDH12	0.0882
RPS6KA3	TK1	0.0882
OSM	ENTPD3	0.0881
CD80	PLK1	0.0881
TGFB1	HDAC8	0.0881
PLA2G10	HIST1H1C	0.0881
SH2D1A	GSTP1	0.0881
ANGPT2	PTEN	0.0880
GFAP	RPS6KA5	0.0880
MAPK1	KIR3DL2	0.0880
TYRO3	IL17RD	0.0880
PRSS3	CD226	0.0880
DIABLO	CLEC7A	0.0880
ULBP3	HTRA2	0.0880
CCL2	POMC	0.0879
FRZB	DPP7	0.0879
EPO	KIF23	0.0879
LSAMP	UNC5D	0.0879
PLA2G5	HIBADH	-0.0879
GDF11	HFE2	0.0879
THBS4	NOTCH3	0.0879
PFDN5	MIF	0.0879
TGFB1	ADAMTS1	0.0879
IGHE IGK@ IGL@	PAPPA	0.0878
CAMK2D	ITGA1 ITGB1	0.0878
HMOX2	FGF6	0.0878
WFIKKN2	GCG	0.0878
IGFBP5	CNTN1	0.0878
SHH	IL1RL1	0.0878
AURKB	IFNL2	0.0878
DPP7	JAG2	0.0877
FCN1	IL3	0.0877
POR	KIR3DS1	0.0877
OPCML	IMPDH1	0.0877
Human-virus	TPM1	0.0877
AREG	NCR3	0.0877
PRKCD	EPS15L1	0.0877
C5	C5 C6	0.0877
DIABLO	PSME3	0.0876
PLXNC1	PPIE	0.0876
SERPINF2	SERPIND1	0.0876
WIF1	CA10	0.0876
GHR	FETUB	0.0876
PSMA6	ARID3A	0.0875
HIST1H1C	BCL2	0.0875
PAK7	PLCG1	0.0875
MSR1	PLG	0.0875
CD4	LIN7B	0.0875
GFAP	ARSA	0.0874
MAPT	LCORL	0.0874
ASAH2	RET	0.0874
BCAM	TNFRSF19	-0.0873
INS	CCL19	0.0873
ULBP3	CFHR5	0.0873
PTN	FCER2	0.0872
CTGF	NGF	0.0872
RPS27A	CAT	0.0872
RPS3	BRF1	0.0872
NGF	HNRNPAB	0.0872
ICAM2	DNAJC19	0.0872
BOC	FGF8	0.0872
LY86	PPY	0.0871
KAT6A	MDM2	0.0871
NACA	SEZ6L2	0.0871
NOTCH2	SLC25A18	0.0871
IL2RA	IFNGR1	0.0871
SFRP1	TFPI	0.0871
ANXA2	BIRC3	0.0871
FRZB	CNTN4	-0.0870
GFRA3	MMP10	0.0870
TNC	DCTN2	0.0870
MDM2	BMPR1A	-0.0870
GPT	LDHB	0.0870
TGFB1	IL20RA	0.0870
ADAMTS4	IL17RB	0.0869
CCL3	RETN	0.0869
NID2	CD84	0.0869
B2M	ALB	0.0869
SFTPD	NRCAM	0.0869
UFM1	FAM107B	0.0869
JAM2	KLK6	0.0868
IL12A IL12B	CRISP3	0.0868
MFGE8	CASP2	0.0867
TPM1	TNFRSF12A	0.0867
PROK1	CD207	0.0867
PLAU	FUT3	-0.0867
FGF8	PSMA2	0.0867
IL12RB1	IL7	0.0867
ENTPD1	LCK	0.0867
PGLYRP1	PDK1	0.0867
CST7	ICOSLG	0.0867
PTEN	GP1BA	0.0866
FGF19	TNFRSF14	0.0866
CD300C	TNFRSF14	0.0866
PSMA1	HS6ST1	0.0866
AURKB	SYNCRIP	0.0866
Human-virus	CHST6	0.0866
SORCS2	PPA1	0.0866
CTSG	MAPK11	-0.0865
NRXN3	S100A9	-0.0865
GDF5	HAPLN1	0.0865
EDAR	CST1	0.0865
RPS6KA5	DDR1	0.0865
IL4	PSMD7	0.0865
GAS1	PRKCI	0.0865
LTA LTB	VIP	0.0864
EIF5	SKP1	0.0864
PGF	SH2D1A	0.0864
LRPAP1	EPHA5	0.0863
POR	AKR1A1	0.0863
ERBB2	IL17RC	0.0863
DSC3	HPGD	-0.0863
GFRA1	CADM1	0.0863
VEGFA	HNRNPA2B1	0.0862
FGF19	NUDCD3	0.0862
SPARC	ANXA6	0.0862
EREG	ELANE	0.0862
PLA2G5	MMP9	0.0862
AIP	PPID	0.0862
TNFSF8	CD163	0.0862
CCL2	MAPKAPK5	0.0862
RAD51	TGM3	0.0861
PDGFRB	MDH1	0.0861
EFNB3	PLG	0.0861
ERBB2	CCL25	0.0861
PLA2G10	NCR3	0.0861
BMP10	LRPAP1	0.0861
GSTP1	PPIE	0.0861
GAS1	EPS15L1	0.0861
ARID3A	ESD	0.0861
C3	C6	0.0860
C3	SIRT2	0.0860
ENTPD5	ICAM5	0.0860
TNFRSF11B	PRLR	0.0859
HMOX2	PRKCI	0.0859
MAPK13	SCARF2	0.0859
TPSG1	CST2	0.0859
ENTPD1	MED1	0.0859
IL13RA1	IL27RA	0.0859
HTRA2	ACY1	0.0859
CHEK1	PDE9A	0.0859
CYCS	SMPDL3A	0.0859
FTH1 FTL	RETN	0.0858
IL25	CBX5	0.0858
PLA2G5	LCK	0.0858
CA7	TG	0.0858
MSLN	BIRC3	0.0858
CCL27	TPO	0.0858
FGFR2	TYMS	0.0858
TNFSF15	FST	0.0857
CST4	LIFR	-0.0857
METAP1	RAN	0.0857
C7	COLEC11	0.0857
HAPLN1	BMPR1A	-0.0856
NTRK2	CPE	0.0856
TIMP1	SET	0.0855
MMP1	GP1BA	0.0855
IL24	ABL1	0.0855
C6	ESD	-0.0855
MAP2K1	HCK	0.0855
SIRT2	PDE3A	0.0855
FGA FGB FGG	CFP	0.0855
IL19	ADAMTS13	0.0855
CHEK1	IL17D	0.0855
CA4	IL5RA	0.0855
FGF8	SLAMF6	0.0855
BMX	SMPDL3A	0.0855
PCNA	HNRNPAB	0.0854
FGF8	CD5L	0.0854
IGF1	NCR3	0.0854
PRKACA	KPNB1	0.0854
ARG1	CD226	0.0854
ERBB4	FABP5	0.0853
PRKCZ	LTA LTB	0.0853
CKB CKM	NOTCH2	0.0853
CBX5	PLXNC1	0.0853
EDA	NID1	-0.0853
BGN	BMP10	0.0853
PTK6	CCL19	0.0853
FOLH1	KRAS	0.0852
TNFSF8	SERPINA6	0.0852
EPO	TGFB3	0.0852
CDC2 CCNB1	CD27	0.0852
PLA2G2A	SERPINA4	-0.0852
TNFRSF14	SNRPF	0.0852
CTGF	GSTA3	-0.0852
CTSD	C1QBP	0.0852
NAAA	IL11	0.0851
CTSS	NME1	0.0851
IL2RA	STX1A	0.0851
CDC2 CCNB1	CASP10	0.0850
MBL2	SELE	-0.0850
Human-virus	STAB2	0.0850
KLK13	AKR7A2	0.0850
CDK2 CCNA2	RBM39	0.0850
CNTFR	MASP1	0.0849
AURKB	LRRTM1	0.0849
AGRP	PLG	0.0849
C7	APOD	0.0849
LGALS4	COL23A1	0.0849
HAT1	BIRC5	0.0848
KLK11	SST	0.0848
EPHB6	NR1D1	0.0848
CTLA4	PGLYRP1	0.0848
CRLF1 CLCF1	FASLG	0.0848
FCGR1A	LRRTM1	0.0848
CCL17	Human-virus	0.0848
TNFSF12	MFRP	0.0847
KLRK1	ENTPD3	0.0847
CA7	CCL13	0.0847
LRRTM3	NPPA	0.0847
GFRA3	TDGF1	0.0847
CTGF	FASLG	0.0847
BMPR2	SET	0.0847
DCTPP1	PIM1	-0.0847
PRTN3	CASP2	0.0847
FAM107A	CD86	0.0847
HAT1	HDGFRP2	0.0847
CX3CL1	CCL19	0.0847
CHL1	CD200	0.0847
PTPN11	DUSP3	0.0846
AIF1	MMP10	0.0846
NTRK1	B2M	0.0846
RPS27A	AK1	0.0846
CTSD	TPM2	0.0846
CHST15	CCL19	0.0845
C4A C4B	LRPAP1	0.0845
INSR	ENTPD3	0.0845
ERBB3	NPPA	0.0845
CTSC	TMPRSS15	0.0845
PLA2G2A	FGF4	0.0845
CTGF	CFHR5	-0.0844
CTSD	RBP4	0.0844
C6	C5 C6	0.0844
DDC	RASA1	0.0844
IL2	PTGS2	0.0844
PFDN5	PRKAA2 PRKAB2 PRKAG1	0.0844
TNFRSF1A	NTF3	0.0843
P4HB	CRTAM	0.0843
ADAMTS13	NCAM1	0.0843
TNFSF15	FLRT1	-0.0843
CD207	SKP1	0.0843
PRKCD	IFNL2	0.0843
NPPB	GDF2	0.0843
CGA CGB	CSNK2A2 CSNK2B	0.0843
CD48	COL23A1	0.0842
CTSV	LILRB2	0.0842
IL6ST	SERPINE2	-0.0842
FETUB	SHBG	0.0842
ACY1	GPT	0.0842
HSD17B10	PRDX5	0.0842
PGF	CCL16	-0.0841
JAM3	CSF3	-0.0841
EIF5	ERBB4	0.0841
CCL21	GCKR	0.0841
LAMA1 LAMB1  LAMC1	PSMA1	0.0841
CNDP2	FCN2	0.0841
SERPINA7	RET	0.0841
IL17F	CA10	0.0840
GPC2	IL24	0.0840
PLA2G5	FGF20	0.0840
CFP	C3	0.0840
CSF3R	KLK13	0.0840
ICAM2	NACA	0.0840
FCGR3B	CD163	0.0839
DLL4	EPHA3	0.0839
TNFSF9	ELANE	0.0839
UFM1	RPS3	0.0839
ACP5	HAMP	0.0839
FCAR	PPIE	0.0839
ADAMTS4	BCAN	0.0838
MMP10	IL34	0.0838
MMP9	LTF	0.0838
CCL28	ULBP2	0.0838
C1QA C1QB  C1QC	AIF1	0.0837
AIMP1	CKAP2	0.0837
EFNB3	TK1	0.0837
PTGS2	NXPH1	0.0837
ALB	TNFAIP6	0.0837
KLK7	RPSA	-0.0837
CCL8	CCL11	0.0837
PIK3CA PIK3R1	EIF4A3	-0.0837
KIRREL3	LPO	0.0837
LGALS3BP	MICB	0.0836
SH2D1A	SMPDL3A	0.0836
SGTA	HSPA8	0.0836
PSMA2	FCRL3	0.0835
AMN	KIF23	0.0835
EGFR	INHBA	-0.0835
TK1	PLCG1	0.0834
PRSS1	FGF12	0.0834
TNFRSF13B	MMP10	0.0834
CCL28	PGLYRP1	0.0834
POMC	GSTA3	0.0834
TSLP	CDH2	-0.0834
UBE2I	PDXP	0.0834
PTHLH	C2	-0.0834
NMT1	ELANE	0.0834
MRC2	CCDC80	0.0833
KIRREL3	SLAMF7	0.0833
CTSG	CDH6	0.0833
SERPINC1	SERPINA5	0.0833
CYCS	LILRB2	0.0833
TNFRSF8	BCL2L1	0.0833
CCL4L1	CXCL13	0.0833
COL8A1	PDE2A	0.0832
HGF	JAG2	0.0832
MAP2K1	SPHK2	0.0832
FGF2	ARSA	0.0832
COTL1	STIP1	0.0832
ADAMTS5	TNFRSF12A	0.0832
FGF9	DDR2	0.0832
EPOR	KLK11	-0.0832
MAPK11	PGK1	0.0832
PIK3CG	DDC	0.0832
CDH5	ESAM	0.0832
HSD17B10	PPIF	0.0832
CTSD	LTA LTB	0.0832
SERPINA5	SERPINA4	0.0831
SEMA3A	DYNLRB1	-0.0831
KLK5	ARPP19	0.0831
LY86	F2	0.0831
MST1R	IL7	0.0831
C1QA C1QB  C1QC	HIPK3	0.0830
VEGFA	MAPK8	0.0830
THBS1	PPBP	0.0830
CTSB	PIGR	0.0830
CYP3A4	PDIA3	0.0830
C2	NGF	-0.0829
CXCL5	PPA1	0.0829
CHL1	ABL2	0.0829
CAMKK1	PSMD7	0.0829
FLT3LG	PRDX5	0.0829
PRSS27	IL5	0.0829
CSF1R	FCN3	0.0828
C4A C4B	LCMT1	0.0828
TG	SIRT2	0.0828
LGALS4	ADAMTS5	0.0828
KPNA2	CTSV	0.0828
MDK	PLXNC1	-0.0827
HIPK3	PRDX5	0.0827
IL18R1	IL1RL1	0.0827
CTSD	LYVE1	0.0827
TGFB1	BPI	0.0827
SLAMF6	BRF1	0.0827
IGFBP4	KLK12	0.0827
SYNCRIP	LRRTM1	0.0827
STAB2	HINT1	0.0826
CD40LG	MMP1	0.0826
RPS6KA3	PLG	0.0826
ACP5	FCN3	0.0826
SEMA3A	ETHE1	0.0826
DSC3	JAG2	0.0826
RPS3	CD274	0.0826
IGFBP4	IL7R	0.0825
SERPINA3	SERPINC1	0.0825
IL1RAP	LIFR	0.0825
CTF1	PRSS3	0.0825
IL37	PTHLH	0.0825
GDF5	GOT1	0.0824
PGLYRP1	PI3	0.0824
FGF8	TNFSF18	-0.0824
NID1	F5	0.0824
CTSG	IGFBP7	0.0824
TPM1	PDK1	0.0823
ARTN	UNC5C	0.0823
VEGFA	CST1	0.0823
FCER2	LTA LTB	0.0823
TGM3	ANXA2	0.0823
CXCL1	SMPDL3A	0.0823
HBA1 HBB	NR1D1	0.0823
RASA1	ELANE	0.0823
TNFSF4	TNFSF13B	0.0823
ESR1	SCT	0.0822
PDGFC	KRAS	0.0822
PRKCD	LRRTM3	0.0822
MATN2	FSTL3	0.0822
PPP3R1	APOD	0.0822
RPS6KA3	EPS15L1	0.0822
FN1	F2	0.0822
IL25	CASP10	0.0822
FAP	CD274	0.0822
MRC1	MRC2	-0.0822
FGF23	POMC	0.0822
CCL8	PDE7A	0.0822
CD80	SSRP1	-0.0821
CHL1	TLR2	0.0821
PLAT	PTH	0.0820
CD48	ASGR1	0.0820
CHEK1	LCORL	0.0820
XCL1	CCNB1	0.0820
LEP	SPARCL1	0.0820
GAS1	FGF6	0.0820
MICA	FOLH1	0.0820
EPS15L1	PTPN6	0.0820
FLT4	IL6ST	0.0820
PPIA	GAPDH	0.0820
WFIKKN2	UNC5D	0.0819
CCL28	CST6	0.0819
IL11	EPHA10	0.0819
CCL28	SPHK1	0.0819
C5	C3	0.0819
HS6ST1	PDK1	0.0818
CCL27	RAD51	0.0818
TNF	SCARB2	0.0818
EPHA3	PRDX5	0.0818
RSPO2	ITGAV ITGB5	0.0818
CTSB	HMGCR	-0.0818
DSC3	HNRNPK	0.0818
WIF1	INSR	0.0817
CD36	NRCAM	0.0817
PLA2G1B	GRAP2	0.0817
XRCC6	ARPP19	0.0817
ACE2	FLRT1	0.0817
TNFRSF1B	PRDX1	0.0817
CTF1	FGFR4	0.0817
CCL24	SORCS2	0.0817
KRAS	MAP3K7 TAB1	0.0817
IL12RB2	SAA1	0.0816
SCT	DNAJB1	0.0816
